# bin_low_uJy bin_high_uJy bin_median_uJy Ns_tot_obs Redshift
-26.801544 -10.669887 -18.735715 3 3.570000
-10.669887 -4.247758 -7.458823 103 3.477767
-4.247758 -1.691063 -2.969411 203 3.516552
-1.691063 -0.673224 -1.182144 115 3.493130
-0.673224 -0.268015 -0.470620 51 3.443137
-0.268015 -0.106699 -0.187357 16 3.497500
-0.106699 -0.042478 -0.074588 3 3.703333
-0.042478 -0.016911 -0.029694 2 3.345000
-0.016911 0.006732 -0.005089 5 3.420000
0.006732 0.016911 0.011821 2 3.370000
0.016911 0.042478 0.029694 5 3.472000
0.042478 0.106699 0.074588 13 3.404615
0.106699 0.268015 0.187357 20 3.564500
0.268015 0.673224 0.470620 47 3.474894
0.673224 1.691063 1.182144 130 3.492000
1.691063 4.247758 2.969411 266 3.516015
4.247758 10.669887 7.458823 206 3.475146
10.669887 26.801544 18.735715 12 3.402500
26.801544 67.322435 47.061989 1 3.460000
