# bin_low_uJy bin_high_uJy bin_median_uJy Ns_tot_obs Redshift
-14.564075 -5.798063 -10.181069 67 -6.690866
-5.798063 -2.308250 -4.053156 1072 -3.453691
-2.308250 -0.365833 -1.337042 2049 -1.224653
-0.365833 0.365833 0.000000 1230 0.010504
0.365833 0.918931 0.642382 1066 0.653266
0.918931 2.308250 1.613591 3259 1.632040
2.308250 5.798063 4.053156 8834 4.000428
5.798063 14.564075 10.181069 9792 9.097278
14.564075 36.583301 25.573688 4880 22.509010
36.583301 91.893098 64.238200 2339 56.984553
91.893098 230.825026 161.359062 992 140.998286
230.825026 579.806251 405.315638 298 338.957047
579.806251 1456.407450 1018.106850 100 851.782000
1456.407450 3658.330120 2557.368785 37 2242.945946
3658.330120 9189.309800 6423.819960 12 6788.750000
9189.309800 23082.502600 16135.906200 2 14985.000000
